itemID|price|demandPrediction|revenue
1|3.43|0|0.0
2|9.15|0|0.0
3|14.04|3|42.12
4|14.1|2|28.2
5|7.48|0|0.0
6|17.25|1|17.25
7|34.39|0|0.0
8|4.98|0|0.0
9|199.84|0|0.0
10|24.17|0|0.0
11|2.13|4|8.52
12|2.11|0|0.0
13|10.83|0|0.0
14|29.67|1|29.67
15|720.5|0|0.0
16|159.61|0|0.0
17|26.38|2|52.76
18|7.21|1|7.21
19|79.68|0|0.0
20|605.04|0|0.0
21|5.44|2|10.88
22|37.38|0|0.0
23|31.58|0|0.0
24|1.81|0|0.0
25|10.5|0|0.0
26|14.27|26|371.02
27|1.64|193|316.52
28|67.75|0|0.0
29|56.13|158|8868.54
30|82.67|0|0.0
31|14.12|0|0.0
32|32.09|2|64.18
33|44.12|0|0.0
34|80.28|0|0.0
35|337.84|852|287839.68
36|1490.64|0|0.0
37|24.01|0|0.0
38|23.17|12|278.04
39|56.06|1|56.06
40|804.57|0|0.0
41|133.27|1|133.27
42|17.72|0|0.0
43|98.2|0|0.0
44|16.33|1|16.33
45|6.98|0|0.0
46|7.2|0|0.0
47|262.92|1|262.92
48|56.31|0|0.0
49|84.6|2|169.2
50|123.15|0|0.0
51|37.53|0|0.0
52|10.51|5|52.55
53|53.79|0|0.0
54|4.57|1|4.57
55|2.57|0|0.0
56|9.99|0|0.0
57|301.25|0|0.0
58|277.72|21|5832.12
59|2331.94|0|0.0
60|99.45|0|0.0
61|2.38|1|2.38
62|9.72|1|9.72
63|63.0|0|0.0
64|17.02|0|0.0
65|4.69|4|18.76
66|100.35|0|0.0
67|42.34|0|0.0
68|24.24|0|0.0
69|33.5|0|0.0
70|2584.94|0|0.0
71|420.37|0|0.0
72|14.45|4|57.8
73|17.9|0|0.0
74|27.15|2|54.3
75|31.34|243|7615.62
76|844.19|0|0.0
77|233.14|0|0.0
78|41.59|0|0.0
79|31.92|30|957.6
80|9.06|0|0.0
81|102.21|4|408.84
82|19.35|0|0.0
83|5.19|2|10.38
84|31.45|0|0.0
85|5.02|0|0.0
86|25.53|0|0.0
87|73.53|49|3602.97
88|1620.82|0|0.0
89|698.36|0|0.0
90|110.94|0|0.0
91|60.03|0|0.0
92|5.41|122|660.02
93|43.68|0|0.0
94|195.1|0|0.0
95|29.1|0|0.0
96|19.47|0|0.0
97|51.53|0|0.0
98|30.97|1|30.97
99|610.36|0|0.0
100|28.71|0|0.0
101|12.51|4|50.04
102|37.86|4|151.44
103|30.95|2|61.9
104|26.56|0|0.0
105|85.46|152|12989.92
106|12.74|3|38.22
107|19.56|165|3227.4
108|5.87|0|0.0
109|5.8|3|17.4
110|61.07|0|0.0
111|4.51|27|121.77
112|12.22|0|0.0
113|3.71|2|7.42
114|46.9|238|11162.2
115|78.46|48|3766.08
116|451.06|0|0.0
117|10.19|0|0.0
118|12.22|0|0.0
119|1012.22|0|0.0
120|19.12|1|19.12
121|51.48|0|0.0
122|6.48|0|0.0
123|36.63|1|36.63
124|63.21|1|63.21
125|5.07|68|344.76
126|13.63|48|654.24
127|628.72|0|0.0
128|42.38|4|169.52
129|23.8|2|47.6
130|14.73|1|14.73
131|243.74|1|243.74
132|375.72|0|0.0
133|25.62|3|76.86
134|208.24|1|208.24
135|33.9|0|0.0
136|6.68|90|601.2
137|42.26|1|42.26
138|11.85|0|0.0
139|218.86|0|0.0
140|6940.08|17|117981.36
141|635.39|1|635.39
142|1241.94|0|0.0
143|28.99|0|0.0
144|121.07|0|0.0
145|204.47|0|0.0
146|14.12|155|2188.6
147|763.52|105|80169.6
148|17.75|0|0.0
149|48.45|0|0.0
150|430.62|0|0.0
151|3.5|0|0.0
152|10.71|7|74.97
153|122.85|0|0.0
